,CorrelationWithChurn
Tenure,-0.3378308434559018
Complain,0.2501882546970325
Complaint_to_Order_Ratio,0.22900318194809455
DaySinceLastOrder,-0.15587091041047613
CashbackAmount,-0.15416119807632236
NumberOfDeviceRegistered,0.10793854619598148
SatisfactionScore,0.10548114706635942
Engagement_Score,0.08782604088094462
CityTier,0.08470317162668137
Average_Cashback_Per_Order,-0.08096392164981202
WarehouseToHome,0.06954371589111619
NumberOfAddress,0.04393101536958694
OrderCount,-0.024037527011581978
CustomerID,-0.019082773336414015
HourSpendOnApp,0.018815777257478374
Customer_Activity_Score,-0.01666380663201221
OrderAmountHikeFromlastYear,-0.007074921903846103
CouponUsed,-0.001430110646222239
