Tenure,Complain,Complaint_to_Order_Ratio,DaySinceLastOrder,CashbackAmount,NumberOfDeviceRegistered,SatisfactionScore,Engagement_Score,CityTier,Average_Cashback_Per_Order,WarehouseToHome,Churn
4.0,1.0,0.5,5.0,160.0,3.0,2.0,6.0,3.0,80.0,6.0,1
9.0,1.0,0.5,0.0,121.0,4.0,3.0,7.0,1.0,60.5,8.0,1
9.0,1.0,0.5,3.0,120.0,4.0,3.0,6.0,1.0,60.0,30.0,1
0.0,0.0,0.0,3.0,134.0,4.0,5.0,6.0,3.0,67.0,15.0,1
0.0,0.0,0.0,3.0,130.0,3.0,5.0,6.0,1.0,65.0,12.0,1
0.0,1.0,0.14285714285714285,7.0,139.0,5.0,5.0,8.0,1.0,19.857142857142858,22.0,1
9.0,0.0,0.0,0.0,121.0,3.0,2.0,5.0,3.0,60.5,11.0,1
9.0,1.0,0.3333333333333333,0.0,123.0,3.0,2.0,6.0,1.0,41.0,6.0,1
13.0,1.0,0.5,2.0,127.0,4.0,3.0,7.0,3.0,63.5,9.0,1
9.0,0.0,0.0,1.0,123.0,5.0,3.0,7.0,1.0,61.5,31.0,1
4.0,0.0,0.0,8.0,295.0,3.0,3.0,5.0,1.0,18.4375,18.0,1
11.0,1.0,0.5,0.0,154.0,4.0,3.0,7.0,1.0,77.0,6.0,1
0.0,1.0,0.3333333333333333,2.0,134.0,3.0,3.0,5.0,1.0,44.666666666666664,11.0,1
0.0,1.0,0.5,0.0,134.0,4.0,3.0,7.0,1.0,67.0,15.0,1
9.0,0.0,0.0,7.0,196.0,4.0,2.0,7.0,3.0,39.2,15.0,1
9.0,1.0,0.5,2.0,121.0,3.0,5.0,6.0,2.0,60.5,12.0,1
0.0,1.0,0.5,0.0,129.0,4.0,2.0,7.0,1.0,64.5,12.0,1
0.0,1.0,0.5,3.0,157.0,4.0,3.0,6.0,3.0,78.5,11.0,1
0.0,1.0,0.5,6.0,161.0,5.0,3.0,8.0,1.0,80.5,13.0,1
19.0,1.0,0.2,3.0,150.0,3.0,4.0,6.0,1.0,30.0,20.0,1
0.0,1.0,0.125,7.0,162.0,5.0,3.0,8.0,3.0,20.25,12.0,1
20.0,0.0,0.0,6.0,203.0,3.0,2.0,6.0,1.0,12.6875,29.0,1
9.0,1.0,0.5,0.0,117.0,3.0,3.0,5.0,3.0,58.5,28.0,1
0.0,1.0,0.3333333333333333,2.0,146.0,5.0,3.0,8.0,3.0,48.666666666666664,26.0,1
14.0,0.0,0.0,3.0,207.0,5.0,2.0,7.0,1.0,103.5,14.0,1
0.0,0.0,0.0,4.0,142.0,3.0,5.0,5.0,1.0,71.0,15.0,1
8.0,0.0,0.0,6.0,173.0,3.0,4.0,6.0,3.0,86.5,6.0,0
9.0,1.0,0.2,5.0,123.0,3.0,3.0,5.0,3.0,24.6,12.0,0
18.0,0.0,0.0,15.0,123.0,3.0,4.0,5.0,1.0,61.5,14.0,0
5.0,0.0,0.0,7.0,190.0,3.0,2.0,5.0,3.0,47.5,14.0,0
2.0,0.0,0.0,9.0,143.0,3.0,3.0,5.0,1.0,71.5,6.0,0
0.0,0.0,0.0,0.0,161.0,4.0,3.0,6.0,1.0,80.5,13.0,0
30.0,1.0,0.5,0.0,133.0,4.0,4.0,7.0,1.0,66.5,15.0,0
13.0,0.0,0.0,11.0,209.0,4.0,2.0,7.0,3.0,69.66666666666667,10.0,0
9.0,0.0,0.0,2.0,122.0,3.0,3.0,6.0,3.0,61.0,8.0,0
0.0,0.0,0.0,2.0,123.0,3.0,2.0,6.0,1.0,41.0,14.0,0
9.0,0.0,0.0,2.0,120.0,3.0,4.0,5.0,1.0,40.0,15.0,0
1.0,0.0,0.0,2.0,127.0,3.0,2.0,6.0,1.0,63.5,27.0,0
30.0,1.0,0.5,4.0,194.0,2.0,2.0,4.0,1.0,97.0,30.0,0
0.0,1.0,0.5,1.0,126.0,4.0,3.0,7.0,1.0,63.0,14.0,0
23.0,0.0,0.0,4.0,299.0,3.0,4.0,5.0,1.0,59.8,17.0,0
14.0,0.0,0.0,8.0,125.0,3.0,3.0,5.0,1.0,62.5,14.0,0
3.0,0.0,0.0,4.0,194.0,3.0,2.0,5.0,3.0,24.25,11.0,0
11.0,0.0,0.0,1.0,187.0,4.0,2.0,6.0,3.0,93.5,6.0,0
5.0,0.0,0.0,4.0,130.0,3.0,3.0,6.0,1.0,65.0,12.0,0
0.0,1.0,0.5,1.0,131.0,3.0,4.0,6.0,1.0,65.5,23.0,0
0.0,0.0,0.0,0.0,123.0,5.0,5.0,8.0,3.0,61.5,14.0,1
9.0,0.0,0.0,2.0,121.0,3.0,4.0,4.0,1.0,15.125,9.0,0
3.0,0.0,0.0,10.0,131.0,3.0,5.0,6.0,1.0,18.714285714285715,15.0,0
18.0,1.0,0.5,3.0,150.0,3.0,5.0,4.0,3.0,75.0,10.0,0
29.0,1.0,0.3333333333333333,2.0,143.0,3.0,5.0,6.0,1.0,47.666666666666664,14.0,0
6.0,0.0,0.0,2.0,125.0,3.0,2.0,5.0,1.0,62.5,14.0,0
0.0,0.0,0.0,0.0,111.0,4.0,2.0,6.0,1.0,55.5,8.0,1
19.0,0.0,0.0,7.0,205.0,3.0,5.0,6.0,3.0,12.8125,6.0,0
9.0,0.0,0.0,1.0,123.0,3.0,2.0,6.0,1.0,41.0,15.0,0
4.0,1.0,0.5,2.0,139.0,3.0,2.0,6.0,1.0,69.5,18.0,0
9.0,0.0,0.0,2.0,123.0,3.0,4.0,6.0,1.0,61.5,33.0,0
4.0,1.0,0.5,2.0,131.0,3.0,4.0,6.0,3.0,65.5,26.0,1
23.0,0.0,0.0,2.0,137.0,4.0,3.0,6.0,1.0,68.5,6.0,0
26.0,0.0,0.0,3.0,145.0,2.0,5.0,4.0,1.0,72.5,19.0,0
6.0,0.0,0.0,6.0,128.0,3.0,4.0,6.0,1.0,64.0,20.0,0
13.0,0.0,0.0,9.0,290.0,3.0,3.0,5.0,1.0,29.0,10.0,0
28.0,0.0,0.0,15.0,287.0,2.0,4.0,5.0,1.0,95.66666666666667,20.0,0
7.0,0.0,0.0,9.0,195.0,4.0,3.0,6.0,1.0,97.5,8.0,0
24.0,0.0,0.0,0.0,237.0,3.0,4.0,6.0,1.0,79.0,9.0,0
25.0,0.0,0.0,9.0,300.0,4.0,3.0,7.0,1.0,25.0,6.0,0
9.0,0.0,0.0,3.0,123.0,3.0,4.0,5.0,1.0,61.5,15.0,0
0.0,1.0,0.5,1.0,159.0,4.0,3.0,6.0,1.0,79.5,29.0,1
9.0,0.0,0.0,2.0,121.0,2.0,2.0,4.0,1.0,40.333333333333336,13.0,0
18.0,0.0,0.0,8.0,268.0,4.0,2.0,7.0,1.0,22.333333333333332,8.0,0
10.0,1.0,0.5,7.0,136.0,2.0,5.0,5.0,1.0,68.0,27.0,0
8.0,0.0,0.0,2.0,144.0,3.0,4.0,5.0,1.0,72.0,8.0,0
15.0,0.0,0.0,2.0,153.0,3.0,3.0,5.0,1.0,76.5,27.0,0
11.0,0.0,0.0,0.0,166.0,3.0,3.0,5.0,1.0,83.0,8.0,0
11.0,0.0,0.0,7.0,163.0,3.0,2.0,5.0,1.0,81.5,35.0,0
0.0,0.0,0.0,0.0,143.0,4.0,5.0,6.0,1.0,47.666666666666664,6.0,0
22.0,1.0,0.5,7.0,168.0,3.0,2.0,6.0,1.0,84.0,24.0,0
7.0,1.0,0.3333333333333333,0.0,138.0,3.0,3.0,5.0,1.0,46.0,16.0,0
13.0,1.0,0.25,7.0,127.0,3.0,2.0,6.0,1.0,31.75,25.0,0
1.0,1.0,0.5,0.0,167.0,3.0,5.0,6.0,1.0,83.5,35.0,1
0.0,0.0,0.0,9.0,176.0,3.0,2.0,5.0,3.0,88.0,33.0,1
0.0,1.0,0.3333333333333333,2.0,123.0,2.0,4.0,4.0,1.0,41.0,14.0,0
9.0,0.0,0.0,7.0,122.0,3.0,2.0,6.0,1.0,61.0,24.0,0
13.0,0.0,0.0,2.0,149.0,4.0,2.0,7.0,1.0,74.5,15.0,0
19.0,0.0,0.0,3.0,194.0,3.0,5.0,6.0,1.0,97.0,6.0,0
0.0,0.0,0.0,8.0,204.0,5.0,2.0,7.0,3.0,20.4,10.0,1
3.0,0.0,0.0,8.0,185.0,4.0,3.0,6.0,1.0,30.833333333333332,6.0,0
0.0,0.0,0.0,7.0,200.0,3.0,3.0,5.0,3.0,100.0,26.0,0
24.0,0.0,0.0,3.0,225.0,4.0,4.0,6.0,1.0,45.0,14.0,0
0.0,1.0,0.5,4.0,127.0,3.0,5.0,5.0,1.0,63.5,14.0,1
14.0,1.0,0.3333333333333333,0.0,236.0,3.0,2.0,6.0,3.0,78.66666666666667,12.0,0
0.0,0.0,0.0,1.0,167.0,4.0,5.0,6.0,3.0,83.5,32.0,1
9.0,0.0,0.0,5.0,121.0,3.0,3.0,5.0,1.0,60.5,6.0,1
18.0,0.0,0.0,8.0,189.0,4.0,2.0,6.0,3.0,14.538461538461538,12.0,0
27.0,0.0,0.0,5.0,159.0,3.0,5.0,5.0,3.0,79.5,9.0,0
9.0,0.0,0.0,7.0,159.0,3.0,4.0,6.0,1.0,39.75,11.0,0
6.0,0.0,0.0,1.0,126.0,4.0,4.0,6.0,1.0,63.0,14.0,0
10.0,1.0,0.5,3.0,222.0,3.0,2.0,5.0,1.0,111.0,17.0,0
11.0,0.0,0.0,13.0,206.0,3.0,3.0,6.0,3.0,34.333333333333336,9.0,0
4.0,0.0,0.0,4.0,143.0,5.0,3.0,7.0,1.0,71.5,6.0,0
9.0,0.0,0.0,0.0,122.0,4.0,2.0,7.0,1.0,61.0,9.0,0
10.0,0.0,0.0,8.0,0.0,3.0,2.0,5.0,3.0,0.0,10.0,0
2.0,0.0,0.0,1.0,179.0,3.0,2.0,5.0,3.0,35.8,6.0,0
8.0,0.0,0.0,8.0,188.0,3.0,3.0,6.0,3.0,94.0,6.0,0
0.0,1.0,0.5,1.0,124.0,4.0,2.0,6.0,1.0,62.0,14.0,1
25.0,0.0,0.0,2.0,132.0,4.0,2.0,6.0,1.0,44.0,8.0,0
15.0,0.0,0.0,15.0,292.0,3.0,2.0,5.0,1.0,24.333333333333332,10.0,0
9.0,0.0,0.0,2.0,123.0,3.0,3.0,5.0,2.0,41.0,12.0,0
23.0,0.0,0.0,6.0,295.0,3.0,2.0,6.0,3.0,147.5,6.0,0
0.0,1.0,0.5,4.0,124.0,3.0,2.0,5.0,1.0,62.0,14.0,1
16.0,1.0,0.3333333333333333,9.0,261.0,3.0,2.0,6.0,3.0,87.0,22.0,0
0.0,0.0,0.0,7.0,127.0,3.0,5.0,6.0,1.0,63.5,8.0,1
25.0,1.0,0.0625,12.0,291.0,4.0,3.0,7.0,3.0,18.1875,8.0,0
5.0,0.0,0.0,2.0,139.0,3.0,4.0,5.0,3.0,69.5,10.0,0
0.0,1.0,0.5,2.0,137.0,4.0,3.0,7.0,1.0,68.5,6.0,1
9.0,0.0,0.0,2.0,122.0,3.0,3.0,6.0,1.0,61.0,6.0,0
5.0,0.0,0.0,2.0,145.0,3.0,2.0,6.0,3.0,48.333333333333336,32.0,0
14.0,0.0,0.0,0.0,131.0,3.0,5.0,6.0,1.0,65.5,25.0,0
13.0,0.0,0.0,7.0,133.0,3.0,2.0,6.0,1.0,26.6,30.0,0
18.0,0.0,0.0,7.0,292.0,2.0,2.0,5.0,1.0,146.0,6.0,0
4.0,0.0,0.0,2.0,237.0,3.0,3.0,6.0,1.0,79.0,9.0,0
6.0,0.0,0.0,2.0,129.0,4.0,2.0,7.0,1.0,64.5,11.0,0
7.0,0.0,0.0,9.0,160.0,4.0,5.0,6.0,1.0,26.666666666666668,8.0,0
10.0,0.0,0.0,2.0,139.0,4.0,5.0,6.0,1.0,69.5,6.0,0
18.0,0.0,0.0,2.0,164.0,2.0,3.0,5.0,1.0,82.0,13.0,0
0.0,0.0,0.0,0.0,200.0,3.0,3.0,6.0,1.0,100.0,16.0,1
12.0,0.0,0.0,3.0,209.0,3.0,3.0,6.0,1.0,17.416666666666668,8.0,0
2.0,0.0,0.0,5.0,123.0,3.0,2.0,5.0,1.0,61.5,14.0,0
15.0,1.0,0.5,2.0,165.0,2.0,5.0,4.0,1.0,82.5,23.0,0
2.0,0.0,0.0,2.0,169.0,3.0,2.0,5.0,3.0,84.5,26.0,0
0.0,0.0,0.0,2.0,149.0,3.0,3.0,6.0,1.0,74.5,6.0,0
15.0,1.0,0.125,8.0,126.0,4.0,5.0,6.0,1.0,15.75,14.0,0
13.0,0.0,0.0,9.0,294.0,3.0,3.0,5.0,1.0,73.5,8.0,0
24.0,0.0,0.0,0.0,127.0,3.0,2.0,6.0,1.0,63.5,6.0,0
0.0,0.0,0.0,4.0,135.0,4.0,4.0,7.0,1.0,67.5,35.0,1
5.0,0.0,0.0,3.0,128.0,2.0,4.0,5.0,1.0,64.0,13.0,0
11.0,0.0,0.0,5.0,152.0,4.0,2.0,6.0,3.0,19.0,8.0,0
9.0,0.0,0.0,4.0,122.0,4.0,5.0,6.0,1.0,61.0,8.0,0
19.0,1.0,0.125,7.0,269.0,5.0,4.0,8.0,3.0,33.625,8.0,0
0.0,0.0,0.0,0.0,135.0,3.0,3.0,6.0,1.0,67.5,8.0,1
2.0,0.0,0.0,0.0,166.0,4.0,4.0,7.0,3.0,83.0,8.0,0
4.0,0.0,0.0,8.0,156.0,4.0,2.0,7.0,1.0,19.5,29.0,0
0.0,0.0,0.0,5.0,140.0,2.0,5.0,4.0,1.0,70.0,11.0,0
18.0,1.0,0.3333333333333333,10.0,235.0,3.0,2.0,6.0,1.0,78.33333333333333,26.0,0
9.0,0.0,0.0,11.0,132.0,3.0,2.0,5.0,1.0,12.0,12.0,0
28.0,1.0,0.2,13.0,290.0,3.0,5.0,5.0,1.0,58.0,6.0,0
10.0,1.0,0.1,3.0,218.0,3.0,4.0,5.0,1.0,21.8,35.0,1
9.0,0.0,0.0,4.0,121.0,3.0,2.0,6.0,1.0,60.5,15.0,0
10.0,0.0,0.0,1.0,165.0,3.0,2.0,6.0,3.0,82.5,12.0,0
0.0,0.0,0.0,0.0,132.0,4.0,3.0,7.0,1.0,66.0,9.0,0
10.0,1.0,0.3333333333333333,2.0,236.0,3.0,2.0,3.0,1.0,78.66666666666667,6.0,0
2.0,0.0,0.0,3.0,220.0,2.0,4.0,5.0,1.0,31.428571428571427,28.0,0
11.0,1.0,0.125,7.0,156.0,2.0,5.0,4.0,3.0,19.5,13.0,0
0.0,0.0,0.0,4.0,164.0,3.0,4.0,5.0,1.0,82.0,6.0,0
23.0,0.0,0.0,6.0,291.0,3.0,4.0,6.0,1.0,145.5,10.0,0
26.0,1.0,0.5,3.0,276.0,3.0,3.0,5.0,1.0,138.0,9.0,0
15.0,0.0,0.0,6.0,149.0,3.0,3.0,5.0,3.0,12.416666666666666,6.0,0
2.0,0.0,0.0,9.0,146.0,3.0,2.0,5.0,3.0,73.0,8.0,0
28.0,1.0,0.5,8.0,154.0,3.0,2.0,5.0,1.0,77.0,26.0,0
0.0,1.0,0.25,3.0,147.0,3.0,5.0,5.0,1.0,36.75,17.0,0
9.0,0.0,0.0,7.0,121.0,3.0,2.0,5.0,1.0,20.166666666666668,6.0,0
7.0,1.0,0.5,0.0,132.0,3.0,3.0,6.0,1.0,66.0,30.0,1
11.0,0.0,0.0,2.0,157.0,3.0,2.0,5.0,1.0,78.5,29.0,0
0.0,1.0,0.5,2.0,124.0,3.0,4.0,5.0,1.0,62.0,14.0,1
1.0,0.0,0.0,2.0,133.0,3.0,2.0,6.0,1.0,66.5,14.0,0
22.0,1.0,0.5,2.0,287.0,3.0,5.0,5.0,1.0,143.5,16.0,0
9.0,0.0,0.0,7.0,145.0,3.0,4.0,4.0,1.0,18.125,9.0,0
4.0,0.0,0.0,2.0,128.0,3.0,4.0,6.0,3.0,42.666666666666664,11.0,0
0.0,1.0,0.125,4.0,158.0,4.0,2.0,6.0,3.0,19.75,10.0,1
10.0,1.0,0.5,2.0,123.0,3.0,2.0,5.0,1.0,61.5,14.0,0
15.0,0.0,0.0,8.0,235.0,3.0,4.0,6.0,3.0,78.33333333333333,32.0,0
9.0,0.0,0.0,0.0,114.0,3.0,3.0,5.0,1.0,57.0,9.0,1
8.0,0.0,0.0,9.0,180.0,3.0,4.0,6.0,3.0,25.714285714285715,22.0,0
9.0,0.0,0.0,0.0,137.0,2.0,2.0,4.0,1.0,68.5,24.0,0
24.0,0.0,0.0,2.0,155.0,5.0,4.0,7.0,1.0,77.5,8.0,0
14.0,0.0,0.0,4.0,260.0,3.0,4.0,5.0,3.0,86.66666666666667,8.0,0
0.0,0.0,0.0,0.0,112.0,4.0,3.0,7.0,3.0,56.0,16.0,0
1.0,0.0,0.0,7.0,157.0,2.0,5.0,5.0,1.0,78.5,22.0,0
4.0,0.0,0.0,7.0,169.0,2.0,2.0,5.0,3.0,21.125,13.0,0
12.0,0.0,0.0,7.0,196.0,2.0,2.0,4.0,1.0,49.0,6.0,0
9.0,0.0,0.0,8.0,157.0,3.0,4.0,5.0,1.0,78.5,30.0,0
5.0,0.0,0.0,8.0,155.0,4.0,3.0,7.0,3.0,31.0,13.0,0
11.0,0.0,0.0,3.0,221.0,4.0,4.0,6.0,1.0,110.5,31.0,0
30.0,1.0,0.5,2.0,157.0,5.0,3.0,7.0,1.0,78.5,6.0,0
4.0,1.0,0.5,3.0,148.0,3.0,2.0,5.0,1.0,74.0,11.0,0
4.0,0.0,0.0,0.0,164.0,4.0,5.0,7.0,2.0,82.0,8.0,0
18.0,0.0,0.0,11.0,152.0,3.0,5.0,6.0,1.0,15.2,13.0,0
4.0,1.0,0.3333333333333333,2.0,127.0,3.0,2.0,6.0,1.0,42.333333333333336,8.0,0
6.0,0.0,0.0,3.0,219.0,3.0,4.0,6.0,1.0,24.333333333333332,11.0,0
12.0,1.0,0.08333333333333333,10.0,271.0,3.0,5.0,5.0,1.0,22.583333333333332,16.0,0
16.0,0.0,0.0,7.0,125.0,3.0,2.0,5.0,1.0,62.5,14.0,0
22.0,1.0,0.3333333333333333,7.0,240.0,4.0,3.0,6.0,1.0,80.0,6.0,0
15.0,0.0,0.0,7.0,149.0,4.0,4.0,6.0,1.0,18.625,14.0,1
0.0,1.0,0.5,2.0,125.0,3.0,4.0,5.0,1.0,62.5,14.0,0
5.0,1.0,0.08333333333333333,9.0,152.0,4.0,4.0,7.0,3.0,12.666666666666666,14.0,0
0.0,1.0,0.5,4.0,145.0,3.0,3.0,6.0,3.0,72.5,8.0,0
4.0,0.0,0.0,7.0,175.0,3.0,2.0,6.0,3.0,87.5,13.0,0
5.0,0.0,0.0,7.0,151.0,2.0,2.0,5.0,1.0,75.5,8.0,0
0.0,1.0,0.3333333333333333,2.0,135.0,5.0,2.0,7.0,1.0,45.0,8.0,1
3.0,0.0,0.0,9.0,158.0,3.0,2.0,6.0,1.0,79.0,34.0,0
4.0,0.0,0.0,9.0,189.0,4.0,3.0,6.0,1.0,21.0,13.0,0
12.0,0.0,0.0,3.0,293.0,4.0,2.0,6.0,1.0,20.928571428571427,5.0,0
2.0,1.0,0.5,0.0,152.0,3.0,3.0,5.0,3.0,76.0,9.0,1
6.0,0.0,0.0,1.0,147.0,4.0,2.0,6.0,3.0,73.5,16.0,0
20.0,0.0,0.0,1.0,283.0,3.0,3.0,5.0,1.0,141.5,11.0,0
16.0,0.0,0.0,0.0,153.0,4.0,3.0,6.0,1.0,76.5,16.0,0
0.0,1.0,0.5,4.0,163.0,3.0,4.0,6.0,3.0,81.5,6.0,0
27.0,0.0,0.0,3.0,149.0,3.0,3.0,5.0,1.0,74.5,26.0,0
16.0,0.0,0.0,0.0,200.0,3.0,5.0,5.0,1.0,100.0,13.0,0
18.0,0.0,0.0,8.0,137.0,3.0,2.0,6.0,1.0,13.7,14.0,0
13.0,1.0,0.5,2.0,175.0,5.0,2.0,7.0,3.0,87.5,6.0,0
9.0,1.0,0.5,7.0,121.0,5.0,5.0,8.0,1.0,60.5,14.0,1
2.0,0.0,0.0,2.0,140.0,4.0,2.0,5.0,1.0,46.666666666666664,15.0,0
3.0,0.0,0.0,2.0,161.0,4.0,3.0,5.0,3.0,80.5,11.0,0
0.0,0.0,0.0,7.0,162.0,3.0,4.0,5.0,3.0,81.0,14.0,0
10.0,0.0,0.0,4.0,163.0,3.0,2.0,6.0,1.0,81.5,11.0,0
11.0,1.0,0.3333333333333333,3.0,215.0,4.0,2.0,7.0,1.0,71.66666666666667,21.0,0
4.0,1.0,0.2,10.0,171.0,3.0,2.0,5.0,1.0,34.2,13.0,0
2.0,1.0,0.5,7.0,183.0,4.0,4.0,6.0,3.0,91.5,16.0,0
8.0,0.0,0.0,13.0,181.0,3.0,4.0,6.0,1.0,90.5,11.0,0
0.0,0.0,0.0,2.0,129.0,3.0,2.0,6.0,1.0,64.5,32.0,0
14.0,1.0,0.5,2.0,160.0,4.0,4.0,7.0,1.0,80.0,12.0,0
20.0,0.0,0.0,0.0,130.0,3.0,3.0,6.0,3.0,65.0,10.0,0
15.0,0.0,0.0,0.0,260.0,3.0,2.0,5.0,1.0,86.66666666666667,29.0,0
2.0,0.0,0.0,2.0,146.0,3.0,3.0,6.0,3.0,73.0,8.0,0
15.0,1.0,0.5,0.0,127.0,3.0,3.0,6.0,2.0,63.5,8.0,0
5.0,0.0,0.0,7.0,124.0,3.0,4.0,6.0,1.0,62.0,14.0,0
21.0,0.0,0.0,3.0,225.0,3.0,3.0,6.0,3.0,112.5,35.0,0
10.0,1.0,0.14285714285714285,7.0,160.0,2.0,5.0,4.0,1.0,22.857142857142858,12.0,0
3.0,1.0,0.3333333333333333,2.0,147.0,3.0,3.0,5.0,3.0,49.0,31.0,0
0.0,0.0,0.0,7.0,153.0,3.0,3.0,5.0,3.0,19.125,6.0,0
15.0,0.0,0.0,0.0,168.0,4.0,2.0,7.0,1.0,84.0,8.0,0
9.0,1.0,0.5,2.0,122.0,4.0,4.0,6.0,3.0,61.0,6.0,1
9.0,0.0,0.0,0.0,167.0,3.0,2.0,5.0,3.0,83.5,6.0,0
9.0,0.0,0.0,12.0,197.0,4.0,2.0,6.0,3.0,98.5,9.0,0
30.0,0.0,0.0,2.0,168.0,3.0,3.0,5.0,1.0,84.0,6.0,0
9.0,1.0,0.5,7.0,122.0,2.0,3.0,4.0,1.0,61.0,16.0,0
0.0,0.0,0.0,2.0,126.0,3.0,2.0,5.0,3.0,42.0,14.0,0
0.0,1.0,0.5,0.0,129.0,3.0,3.0,6.0,3.0,64.5,11.0,1
10.0,0.0,0.0,3.0,135.0,3.0,5.0,6.0,1.0,67.5,16.0,0
19.0,0.0,0.0,0.0,153.0,3.0,3.0,4.0,1.0,76.5,13.0,0
4.0,0.0,0.0,7.0,194.0,3.0,4.0,5.0,3.0,24.25,10.0,1
